simulacrum,rc,context
https://w3id.org/simulation/data/wolf,https://w3id.org/simulation/data/anger,https://w3id.org/simulation/data/generalOrUnknown
https://w3id.org/simulation/data/wolf,https://w3id.org/simulation/data/avarice,https://w3id.org/simulation/data/generalOrUnknown
https://w3id.org/simulation/data/x,https://w3id.org/simulation/data/christ,https://w3id.org/simulation/data/christian
https://w3id.org/simulation/data/lettuce,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/egyptian
https://w3id.org/simulation/data/whipping,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/generalOrUnknown
https://w3id.org/simulation/data/windmill,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/generalOrUnknown
https://w3id.org/simulation/data/wolf,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/generalOrUnknown
https://w3id.org/simulation/data/wolf,https://w3id.org/simulation/data/greed,https://w3id.org/simulation/data/chinese
https://w3id.org/simulation/data/wolf,https://w3id.org/simulation/data/greed,https://w3id.org/simulation/data/generalOrUnknown
https://w3id.org/simulation/data/woodpecker,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/generalOrUnknown
https://w3id.org/simulation/data/wool,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/generalOrUnknown
https://w3id.org/simulation/data/suzume,https://w3id.org/simulation/data/folly,https://w3id.org/simulation/data/japanese
https://w3id.org/simulation/data/lily,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/generalOrUnknown
https://w3id.org/simulation/data/lion,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/generalOrUnknown
https://w3id.org/simulation/data/lizard,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/african
https://w3id.org/simulation/data/maize,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/generalOrUnknown
https://w3id.org/simulation/data/mare,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/generalOrUnknown
https://w3id.org/simulation/data/milk,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/generalOrUnknown
https://w3id.org/simulation/data/mill,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/generalOrUnknown
https://w3id.org/simulation/data/mirror,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/generalOrUnknown
https://w3id.org/simulation/data/mistletoe,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/generalOrUnknown
https://w3id.org/simulation/data/moon,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/chinese
https://w3id.org/simulation/data/music,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/generalOrUnknown
https://w3id.org/simulation/data/mustardPlant,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/generalOrUnknown
https://w3id.org/simulation/data/nagaNagina,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/hindu
https://w3id.org/simulation/data/navel,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/generalOrUnknown
https://w3id.org/simulation/data/necklace,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/generalOrUnknown
https://w3id.org/simulation/data/nut,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/generalOrUnknown
https://w3id.org/simulation/data/o,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/generalOrUnknown
https://w3id.org/simulation/data/oak,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/generalOrUnknown
https://w3id.org/simulation/data/obelisk,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/generalOrUnknown
https://w3id.org/simulation/data/oil,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/generalOrUnknown
https://w3id.org/simulation/data/olive,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/generalOrUnknown
https://w3id.org/simulation/data/oliveBranch,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/generalOrUnknown
https://w3id.org/simulation/data/orangeFruit,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/chinese
https://w3id.org/simulation/data/ostrichFeathers,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/generalOrUnknown
https://w3id.org/simulation/data/oyster,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/chinese
https://w3id.org/simulation/data/pairOfAndrosphinxWithTheTreeOfLife,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/egyptian
https://w3id.org/simulation/data/pairOfFish,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/chinese
https://w3id.org/simulation/data/park,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/generalOrUnknown
https://w3id.org/simulation/data/partridge,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/generalOrUnknown
https://w3id.org/simulation/data/peachFruit,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/japanese
https://w3id.org/simulation/data/pearl,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/generalOrUnknown
https://w3id.org/simulation/data/peony,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/japanese
https://w3id.org/simulation/data/phrygia,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/generalOrUnknown
https://w3id.org/simulation/data/pine,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/hindu
https://w3id.org/simulation/data/pineapple,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/generalOrUnknown
https://w3id.org/simulation/data/plantain,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/chinese
https://w3id.org/simulation/data/plow,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/generalOrUnknown
https://w3id.org/simulation/data/poinsettia,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/generalOrUnknown
https://w3id.org/simulation/data/poppy,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/generalOrUnknown
https://w3id.org/simulation/data/potato,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/generalOrUnknown
https://w3id.org/simulation/data/q,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/generalOrUnknown
https://w3id.org/simulation/data/quail,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/generalOrUnknown
https://w3id.org/simulation/data/quince,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/generalOrUnknown
https://w3id.org/simulation/data/rain,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/generalOrUnknown
https://w3id.org/simulation/data/raven,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/grecoRoman
https://w3id.org/simulation/data/9,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/chinese
https://w3id.org/simulation/data/9,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/generalOrUnknown
https://w3id.org/simulation/data/appleFruit,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/celtic
https://w3id.org/simulation/data/appleFruit,https://w3id.org/simulation/data/fertility,https://w3id.org/simulation/data/generalOrUnknown
