"Name","Link"
"Adam","https://iconclass.org/11I62(ADAM) @ http://www.wikidata.org/entity/Q70899"
"Aeneas","https://iconclass.org/96C(AENEAS) @ http://www.wikidata.org/entity/Q82732 @ http://viaf.org/viaf/18151776751918010050 @ http://viaf.org/viaf/310624824"
"Aeolus","http://www.wikidata.org/entity/Q172549 @ http://viaf.org/viaf/242146936577813780265 @ http://viaf.org/viaf/316444023"
"Aglauros","http://www.wikidata.org/entity/Q368994"
"Aion/Phanes","http://www.iconclass.org/rkd/91A14%28AION%29/"
"Anteros","http://www.iconclass.org/rkd/92D1911/ @ http://www.wikidata.org/entity/Q572133 @ http://viaf.org/viaf/203920381 @ http://viaf.org/viaf/69739212"
"Antiphas, son of Laoocoon",""
"Antoninus Pius","http://www.wikidata.org/entity/Q1429 @ http://vocab.getty.edu/ulan/500115700 @ http://viaf.org/viaf/282104028 @ http://viaf.org/viaf/82144648308918710777"
"Apollo","https://iconclass.org/92B3 @ http://www.wikidata.org/entity/Q37340 @ http://viaf.org/viaf/3261638"
"Apollo god of Sun",""
"Apollo Medicus or Aesculapius",""
"Apostles","http://www.wikidata.org/entity/Q4155679"
"Archangel Gabriel","http://www.wikidata.org/entity/Q81989 @ http://viaf.org/viaf/286452690"
"Argus","http://www.wikidata.org/entity/Q189821 @ http://viaf.org/viaf/73149617096403752423 @ http://viaf.org/viaf/77495947"
"Ariadne","https://iconclass.org/95B(ARIADNE) @ http://www.wikidata.org/entity/Q184874 @ http://viaf.org/viaf/24151776820418012464 @ http://viaf.org/viaf/77109359"
"Athene","http://www.wikidata.org/entity/Q37122 @ http://viaf.org/viaf/74643725"
"bacchant","https://iconclass.org/92L1912 @ http://www.wikidata.org/entity/Q2878203"
"Bacchus","https://iconclass.org/92L1 @ http://www.wikidata.org/entity/Q645312 @ http://viaf.org/viaf/27864934"
"Bishop Simone Saltarelli",""
"Blindfold Cupid","http://www.iconclass.org/rkd/92D18%28BLINDFOLD%29/"
"Cacus","http://www.wikidata.org/entity/Q754686 @ http://viaf.org/viaf/13451695 @ http://viaf.org/viaf/188476461"
"Cerberus","http://www.wikidata.org/entity/Q83496"
