"Name","Link"
"A.E. Popp","http://viaf.org/viaf/20715488"
"Abu Ma'sar","http://viaf.org/viaf/17355947 @ http://www.wikidata.org/entity/Q11373"
"Achilles Bocchius","http://viaf.org/viaf/149878 @ http://www.wikidata.org/entity/Q3604350"
"Adam Friedrich Oeser","http://vocab.getty.edu/ulan/500115770 @ http://www.wikidata.org/entity/Q215129 @ http://viaf.org/viaf/74126113"
"Agesander","http://www.wikidata.org/entity/Q983432 @ http://vocab.getty.edu/ulan/500021781 @ http://viaf.org/viaf/35898854"
"Athenodoros","http://vocab.getty.edu/ulan/500007132 @ http://www.wikidata.org/entity/Q280432 @ http://viaf.org/viaf/42230050"
"Polydorus","http://vocab.getty.edu/ulan/500031985"
"Agnolo Bronzino","http://vocab.getty.edu/ulan/500004362 @ http://www.wikidata.org/entity/Q7803 @ http://viaf.org/viaf/106963584 @ http://viaf.org/viaf/59354048"
"Albrecht Dürer","http://vocab.getty.edu/ulan/500115493 @ http://www.wikidata.org/entity/Q5580 @ http://viaf.org/viaf/54146999"
"Alexandre de Laborde","http://viaf.org/viaf/121808105 @ http://www.wikidata.org/entity/Q2362791 @ http://vocab.getty.edu/ulan/500254596 @ http://viaf.org/viaf/27074419"
"Alfred Stevens","http://vocab.getty.edu/ulan/500000844 @ http://www.wikidata.org/entity/Q773855 @ http://viaf.org/viaf/10025104"
"Alphonse Louis Duc","http://viaf.org/viaf/47035383"
"Ambrogio Lorenzetti","http://vocab.getty.edu/ulan/500012547 @ http://www.wikidata.org/entity/Q211562 @ http://viaf.org/viaf/100916572"
"Andrea Alciati","http://vocab.getty.edu/ulan/500048282 @ http://www.wikidata.org/entity/Q464471 @ http://viaf.org/viaf/51699991"
"Andrea del Castagno","http://vocab.getty.edu/ulan/500004603 @ http://www.wikidata.org/entity/Q240737 @ http://viaf.org/viaf/95708912"
"Andrea Mantegna","http://vocab.getty.edu/ulan/500004218 @ http://www.wikidata.org/entity/Q5681 @ http://viaf.org/viaf/27084155"
"Annibale Carracci","http://vocab.getty.edu/ulan/500115350 @ http://www.wikidata.org/entity/Q7824 @ http://viaf.org/viaf/12405951"
"Anthony van Dyck","http://vocab.getty.edu/ulan/500115190 @ http://www.wikidata.org/entity/Q150679 @ http://viaf.org/viaf/17231738"
"Antonio Federighi","http://vocab.getty.edu/ulan/500022519 @ http://www.wikidata.org/entity/Q291201 @ http://viaf.org/viaf/52774174"
"Antonio Pollaiuolo","http://vocab.getty.edu/ulan/500013242 @ http://www.wikidata.org/entity/Q318640 @ http://viaf.org/viaf/309812814 @ http://viaf.org/viaf/79398580"
"Apollonio di Giovanni","http://vocab.getty.edu/ulan/500019165 @ http://www.wikidata.org/entity/Q2858468 @ http://viaf.org/viaf/95798943"
"Artus Quellinus the Elder","http://viaf.org/viaf/52492507 @ http://www.wikidata.org/entity/Q651461 @ http://vocab.getty.edu/ulan/500012120"
"Aubrey Beardsley","http://viaf.org/viaf/88739636 @ http://www.wikidata.org/entity/Q272566 @ http://vocab.getty.edu/ulan/500032068"
"B. de Montfaucon","http://vocab.getty.edu/ulan/500272624"
"Baccio Bandinelli","http://vocab.getty.edu/ulan/500008366 @ http://www.wikidata.org/entity/Q358348 @ http://viaf.org/viaf/88820562"
"Benedetto Antelami","http://vocab.getty.edu/ulan/500007220 @ http://www.wikidata.org/entity/Q560114 @ http://viaf.org/viaf/50019028 @ http://viaf.org/viaf/6922149489170593810001"
"Benozzo Gozzoli","http://vocab.getty.edu/ulan/500000246 @ http://www.wikidata.org/entity/Q248615 @ http://viaf.org/viaf/49498139"
"C. Nodier","http://viaf.org/viaf/64009895"
"Cesare Ripa","http://vocab.getty.edu/ulan/500236250 @ http://www.wikidata.org/entity/Q721704 @ http://viaf.org/viaf/100173686"
"Charles Edouard de Beaumont","http://vocab.getty.edu/ulan/500011622 @ http://www.wikidata.org/entity/Q2958342 @ http://viaf.org/viaf/22922551 @ http://viaf.org/viaf/90433463"
"Christine Pisan","https://viaf.org/viaf/100188547/"
