"Name","WikidataEntity","SameAs"
"Apollo","http://www.wikidata.org/entity/Q37340","http://www.wikidata.org/entity/Q900649 @ http://www.wikidata.org/entity/Q1199937"
"Athene","http://www.wikidata.org/entity/Q37122","http://www.wikidata.org/entity/Q126916"
"Bacchus","http://www.wikidata.org/entity/Q645312","http://www.wikidata.org/entity/Q41680"
"Cybele","http://www.wikidata.org/entity/Q188236","http://www.wikidata.org/entity/Q108419"
"Devil","http://www.wikidata.org/entity/Q6674","http://www.wikidata.org/entity/Q185498"
"Diana","http://www.wikidata.org/entity/Q132543","http://www.wikidata.org/entity/Q39503 @ http://www.wikidata.org/entity/Q131585"
"Dionysus","http://www.wikidata.org/entity/Q41680","http://www.wikidata.org/entity/Q140406 @ http://www.wikidata.org/entity/Q690603 @ http://www.wikidata.org/entity/Q1361319"
"Jupiter","http://www.wikidata.org/entity/Q34201","http://www.wikidata.org/entity/Q4649"
"Minerva","http://www.wikidata.org/entity/Q126916","http://www.wikidata.org/entity/Q37122"
"Pluto","http://www.wikidata.org/entity/Q152262","http://www.wikidata.org/entity/Q41410"
"Proserpina","http://www.wikidata.org/entity/Q14515330","http://www.wikidata.org/entity/Q45967"
"Rhea","http://www.wikidata.org/entity/Q108419","http://www.wikidata.org/entity/Q188236 @ http://www.wikidata.org/entity/Q188236 @ http://www.wikidata.org/entity/Q859392"
"Satan","http://www.wikidata.org/entity/Q35230","http://www.wikidata.org/entity/Q185498"
"Saturn","http://www.wikidata.org/entity/Q134388","http://www.wikidata.org/entity/Q44204 @ http://www.wikidata.org/entity/Q272918"
"Sol Invictus","http://www.wikidata.org/entity/Q214494","http://www.wikidata.org/entity/Q1199937"
"Vulcan","http://www.wikidata.org/entity/Q4640","http://www.wikidata.org/entity/Q44384"
"Zeus","http://www.wikidata.org/entity/Q34201","http://www.wikidata.org/entity/Q4649"
"Cupid","http://www.wikidata.org/entity/Q5011","http://www.wikidata.org/entity/Q121973"
