"Name","WikidataBroader"
"Adam","http://www.wikidata.org/entity/Q4349921 @ http://www.wikidata.org/entity/Q20643955"
"Aeneas","http://www.wikidata.org/entity/Q15632617 @ http://www.wikidata.org/entity/Q22988604"
"Aeolus","http://www.wikidata.org/entity/Q22989102 @ http://www.wikidata.org/entity/Q24434794"
"Aglauros","http://www.wikidata.org/entity/Q22988604"
"Anteros","http://www.wikidata.org/entity/Q22989102"
"Antoninus Pius","http://www.wikidata.org/entity/Q5"
"Apollo","http://www.wikidata.org/entity/Q511056 @ http://www.wikidata.org/entity/Q22989102 @ http://www.wikidata.org/entity/Q113103481"
"Apostles","http://www.wikidata.org/entity/Q22813674"
"Archangel Gabriel","http://www.wikidata.org/entity/Q178342 @ http://www.wikidata.org/entity/Q690175 @ http://www.wikidata.org/entity/Q1266031 @ http://www.wikidata.org/entity/Q10822464"
"Argus","http://www.wikidata.org/entity/Q22988604 @ http://www.wikidata.org/entity/Q24434794"
"Ariadne","http://www.wikidata.org/entity/Q21070568 @ http://www.wikidata.org/entity/Q24434794"
"Athene","http://www.wikidata.org/entity/Q205985 @ http://www.wikidata.org/entity/Q22989102 @ http://www.wikidata.org/entity/Q113103481"
"Bacchus","http://www.wikidata.org/entity/Q11688446"
"Cacus","http://www.wikidata.org/entity/Q3707571 @ http://www.wikidata.org/entity/Q22988604"
"Cerberus","http://www.wikidata.org/entity/Q2280977 @ http://www.wikidata.org/entity/Q22988604"
"Christ","http://www.wikidata.org/entity/Q5 @ http://www.wikidata.org/entity/Q178885 @ http://www.wikidata.org/entity/Q20643955"
"crocodile","http://www.wikidata.org/entity/Q16521"
"Cybele","http://www.wikidata.org/entity/Q205985 @ http://www.wikidata.org/entity/Q22989102"
"Devil","http://www.wikidata.org/entity/Q207174 @ http://www.wikidata.org/entity/Q4271324 @ http://www.wikidata.org/entity/Q12405827"
"Diana","http://www.wikidata.org/entity/Q207869 @ http://www.wikidata.org/entity/Q11688446"
"Dido","http://www.wikidata.org/entity/Q21070568 @ http://www.wikidata.org/entity/Q22988604"
"Dionysus","http://www.wikidata.org/entity/Q101609 @ http://www.wikidata.org/entity/Q13405593 @ http://www.wikidata.org/entity/Q22989102"
"Erato","http://www.wikidata.org/entity/Q66016"
"Erymanthian Boar","http://www.wikidata.org/entity/Q2239243 @ http://www.wikidata.org/entity/Q22988604"
"Eve","http://www.wikidata.org/entity/Q4271324 @ http://www.wikidata.org/entity/Q4349921 @ http://www.wikidata.org/entity/Q20643955"
"Fedro","http://www.wikidata.org/entity/Q5"
"Giuliano de' Medici","http://www.wikidata.org/entity/Q5"
"Hecuba","http://www.wikidata.org/entity/Q22988604"
"Helen","http://www.wikidata.org/entity/Q22988604"
"Hylas","http://www.wikidata.org/entity/Q22988604"
"Ixion","http://www.wikidata.org/entity/Q21070568 @ http://www.wikidata.org/entity/Q22988604"
"Jupiter","http://www.wikidata.org/entity/Q842697 @ http://www.wikidata.org/entity/Q1589492 @ http://www.wikidata.org/entity/Q22989102 @ http://www.wikidata.org/entity/Q113103481"
"Jupiter as an eagle","http://www.wikidata.org/entity/Q838948 @ http://www.wikidata.org/entity/Q860861"
"Lorenzo de' Medici","http://www.wikidata.org/entity/Q5"
"Mary","http://www.wikidata.org/entity/Q20643955"
"Minerva","http://www.wikidata.org/entity/Q205985 @ http://www.wikidata.org/entity/Q11688446 @ http://www.wikidata.org/entity/Q41863069"
"Moses","http://www.wikidata.org/entity/Q20643955"
"Muses","http://www.wikidata.org/entity/Q28061975"
"Mithras","http://www.wikidata.org/entity/Q178885 @ http://www.wikidata.org/entity/Q11688446"
"Neptune","http://www.wikidata.org/entity/Q30014 @ http://www.wikidata.org/entity/Q1319599"
"Noah","http://www.wikidata.org/entity/Q168827 @ http://www.wikidata.org/entity/Q20643955"
"Orpheus","http://www.wikidata.org/entity/Q22988604"
"Pan","http://www.wikidata.org/entity/Q13405593 @ http://www.wikidata.org/entity/Q22989102"
"Paris","http://www.wikidata.org/entity/Q22988604"
"Perseus","http://www.wikidata.org/entity/Q12502038 @ http://www.wikidata.org/entity/Q21070568 @ http://www.wikidata.org/entity/Q23015925"
"Phaeton","http://www.wikidata.org/entity/Q22988604"
"Pluto","http://www.wikidata.org/entity/Q11688446"
"Polyxena","http://www.wikidata.org/entity/Q22988604"
"Pope Julius II","http://www.wikidata.org/entity/Q5"
"Prometheus","http://www.wikidata.org/entity/Q45713"
"Prophet","http://www.wikidata.org/entity/Q28640 @ http://www.wikidata.org/entity/Q2642184 @ http://www.wikidata.org/entity/Q7810129"
"Proserpina","http://www.wikidata.org/entity/Q11688446"
"puer mingens","http://www.wikidata.org/entity/Q1229071"
"Pygmalion","http://www.wikidata.org/entity/Q22988604"
"Rachel","http://www.wikidata.org/entity/Q20643955"
"Rhea","http://www.wikidata.org/entity/Q45713 @ http://www.wikidata.org/entity/Q205985"
"Saint Anne","http://www.wikidata.org/entity/Q20643955"
"Saint Damian","http://www.wikidata.org/entity/Q5"
"Saint John the Evangelist","http://www.wikidata.org/entity/Q5 @ http://www.wikidata.org/entity/Q20643955"
"Saint Luke","http://www.wikidata.org/entity/Q5"
"Saint Mark","http://www.wikidata.org/entity/Q5"
"Saint Paul","http://www.wikidata.org/entity/Q5"
"Saint Peter","http://www.wikidata.org/entity/Q5 @ http://www.wikidata.org/entity/Q20643955"
"Salamander","http://www.wikidata.org/entity/Q16521"
"Satan","http://www.wikidata.org/entity/Q6674 @ http://www.wikidata.org/entity/Q581450 @ http://www.wikidata.org/entity/Q28855038"
"Saturn","http://www.wikidata.org/entity/Q7805266 @ http://www.wikidata.org/entity/Q11688446 @ http://www.wikidata.org/entity/Q24284226"
"Satyr","http://www.wikidata.org/entity/Q24533670"
"Serapis","http://www.wikidata.org/entity/Q146083 @ http://www.wikidata.org/entity/Q22989102"
"Silenus","http://www.wikidata.org/entity/Q163709 @ http://www.wikidata.org/entity/Q22988604"
"Simeon","http://www.wikidata.org/entity/Q5 @ http://www.wikidata.org/entity/Q20643955"
"Sol Invictus","http://www.wikidata.org/entity/Q511056"
"Sisyphus","http://www.wikidata.org/entity/Q21070568 @ http://www.wikidata.org/entity/Q24434794"
"Tantalus","http://www.wikidata.org/entity/Q21070568 @ http://www.wikidata.org/entity/Q22988604"
"The three Graces","http://www.wikidata.org/entity/Q28061975"
"Thisbe","http://www.wikidata.org/entity/Q3346693 @ http://www.wikidata.org/entity/Q22988604"
"Tityus","http://www.wikidata.org/entity/Q22988604"
