"City","CityLink","Country","CountryLink"
"Siena","http://vocab.getty.edu/tgn/7011179","Italy","http://vocab.getty.edu/tgn/1000080"
"Vienna","http://vocab.getty.edu/tgn/7003321","Austria","http://vocab.getty.edu/tgn/1000062"
"Munich","http://vocab.getty.edu/tgn/7004333","Bavaria","http://vocab.getty.edu/tgn/7003669"
"Munich","http://vocab.getty.edu/tgn/7004333","Germany","http://vocab.getty.edu/tgn/7000084"
"Berlin","http://vocab.getty.edu/tgn/7003712","Germany","http://vocab.getty.edu/tgn/7000084"
"Padua","http://vocab.getty.edu/tgn/7003085","Italy","http://vocab.getty.edu/tgn/1000080"
"Bamberg","http://vocab.getty.edu/tgn/7004325","Bavaria","http://vocab.getty.edu/tgn/7003669"
"Bamberg","http://vocab.getty.edu/tgn/7004325","Germany","http://vocab.getty.edu/tgn/7000084"
"Florence","http://vocab.getty.edu/tgn/7000457","Italy","http://vocab.getty.edu/tgn/1000080"
"Pisa","http://vocab.getty.edu/tgn/7006082","Italy","http://vocab.getty.edu/tgn/1000080"
"Bari","http://vocab.getty.edu/tgn/7004101","Italy","http://vocab.getty.edu/tgn/1000080"
"Rome","http://vocab.getty.edu/tgn/7000874","Italy","http://vocab.getty.edu/tgn/1000080"
"Naples","http://vocab.getty.edu/tgn/7004474","Italy","http://vocab.getty.edu/tgn/1000080"
"Paris","http://vocab.getty.edu/tgn/7008038","France","http://vocab.getty.edu/tgn/1000070"
"Lyons","http://vocab.getty.edu/tgn/7008772","France","http://vocab.getty.edu/tgn/1000070"
"Geneva","http://vocab.getty.edu/tgn/7007279","Geneva","http://vocab.getty.edu/tgn/7003746"
"Geneva","http://vocab.getty.edu/tgn/7007279","Switzerland","http://vocab.getty.edu/tgn/7011731"
"Mantua","http://vocab.getty.edu/tgn/7005879","Italy","http://vocab.getty.edu/tgn/1000080"
"Nuremberg","http://vocab.getty.edu/tgn/7004334","Bavaria","http://vocab.getty.edu/tgn/7003669"
"Nuremberg","http://vocab.getty.edu/tgn/7004334","Germany","http://vocab.getty.edu/tgn/7000084"
"Darmstadt","http://vocab.getty.edu/tgn/7004428","Germany","http://vocab.getty.edu/tgn/7000084"
"Milan","http://vocab.getty.edu/tgn/7005903","Italy","http://vocab.getty.edu/tgn/1000080"
"Toulouse","http://vocab.getty.edu/tgn/7008441","France","http://vocab.getty.edu/tgn/1000070"
"Bologna","http://vocab.getty.edu/tgn/7004847","Italy","http://vocab.getty.edu/tgn/1000080"
"Strasbourg","http://vocab.getty.edu/tgn/7012346","France","http://vocab.getty.edu/tgn/1000070"
"Turin","http://vocab.getty.edu/tgn/7005688","Italy","http://vocab.getty.edu/tgn/1000080"
"Salzburg","http://vocab.getty.edu/tgn/7003256","Austria","http://vocab.getty.edu/tgn/1000062"
"Ferrara","http://vocab.getty.edu/tgn/7004264","Italy","http://vocab.getty.edu/tgn/1000080"
"Zurich","http://vocab.getty.edu/tgn/7007302","Switzerland","http://vocab.getty.edu/tgn/7011731"
"Venice","http://vocab.getty.edu/tgn/7018159","Venice","http://vocab.getty.edu/tgn/7018159"
"Venice","http://vocab.getty.edu/tgn/7018159","Italy","http://vocab.getty.edu/tgn/1000080"
"Cologne","http://vocab.getty.edu/tgn/7004446","Germany","http://vocab.getty.edu/tgn/7000084"
"Würzburg","http://vocab.getty.edu/tgn/7004335","Bavaria","http://vocab.getty.edu/tgn/7003669"
"Würzburg","http://vocab.getty.edu/tgn/7004335","Germany","http://vocab.getty.edu/tgn/7000084"
"Mainz","http://vocab.getty.edu/tgn/7004449","Germany","http://vocab.getty.edu/tgn/7000084"
"Saint Petersburg","http://vocab.getty.edu/tgn/7010273","Russia","http://vocab.getty.edu/tgn/7002435"
"Vicenza","http://vocab.getty.edu/tgn/7003204","Italy","http://vocab.getty.edu/tgn/1000080"
"Lubeck","http://vocab.getty.edu/tgn/7012327","Germany","http://vocab.getty.edu/tgn/7000084"
"Como","http://vocab.getty.edu/tgn/7005851","Italy","http://vocab.getty.edu/tgn/1000080"
"Trieste","http://vocab.getty.edu/tgn/7005539","Italy","http://vocab.getty.edu/tgn/1000080"
"Basel","http://vocab.getty.edu/tgn/7007269","Switzerland","http://vocab.getty.edu/tgn/7011731"
