"Artwork","Subject1","Type"
"http://icondataset.org/ART1303","http://icondataset.org/bandage","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1303","http://icondataset.org/riding-a-horse","https://w3id.org/icon/ontology/Action"
"http://icondataset.org/ART1303","http://icondataset.org/falling","https://w3id.org/icon/ontology/Action"
"http://icondataset.org/ART1303","http://icondataset.org/person","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1303","http://icondataset.org/woman","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1303","http://icondataset.org/horse","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1405","http://icondataset.org/square","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1405","http://icondataset.org/network","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1405","http://icondataset.org/male-head","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1079","http://icondataset.org/man","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1233","http://icondataset.org/space","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1233","http://icondataset.org/city","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1233","http://icondataset.org/ground","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1233","http://icondataset.org/standing-on-the-ground","https://w3id.org/icon/ontology/Action"
"http://icondataset.org/ART1233","http://icondataset.org/men-in-different-activities","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1452","http://icondataset.org/lifting-with-one-hand","https://w3id.org/icon/ontology/Action"
"http://icondataset.org/ART1452","http://icondataset.org/wings-on-the-head","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1452","http://icondataset.org/stick-with-two-coiled-snakes","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1452","http://icondataset.org/man","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1452","http://icondataset.org/aries","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1452","http://icondataset.org/bag","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1452","http://icondataset.org/peacock","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1452","http://icondataset.org/mantle","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1467","http://icondataset.org/mouse","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1467","http://icondataset.org/human-skull","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1467","http://icondataset.org/piece-of-masonry","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1467","http://icondataset.org/shepherd","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1467","http://icondataset.org/fly","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1467","http://icondataset.org/stopping","https://w3id.org/icon/ontology/Action"
"http://icondataset.org/ART1471","http://icondataset.org/forest","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1471","http://icondataset.org/tombstone","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1471","http://icondataset.org/lover","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1257","http://icondataset.org/man","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1257","http://icondataset.org/encircling","https://w3id.org/icon/ontology/Action"
"http://icondataset.org/ART1257","http://icondataset.org/zodiac","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1257","http://icondataset.org/snake","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1257","http://icondataset.org/wings","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1150","http://icondataset.org/man","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1150","http://icondataset.org/figure","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1004test","http://icondataset.org/flowers","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1004test","http://icondataset.org/lending-one-hand-to-a-man","https://w3id.org/icon/ontology/Action"
"http://icondataset.org/ART1004test","http://icondataset.org/knight","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1004test","http://icondataset.org/cart","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1004test","http://icondataset.org/armor","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1004test","http://icondataset.org/lending-both-hands-to-a-woman","https://w3id.org/icon/ontology/Action"
"http://icondataset.org/ART1004test","http://icondataset.org/man","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1004test","http://icondataset.org/three-dog-heads","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1004test","http://icondataset.org/court-dress","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1004test","http://icondataset.org/gathering-flowers","https://w3id.org/icon/ontology/Action"
"http://icondataset.org/ART1004test","http://icondataset.org/woman","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1004test","http://icondataset.org/natural-landscape","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1004test","http://icondataset.org/sitting-down","https://w3id.org/icon/ontology/Action"
"http://icondataset.org/ART1015","http://icondataset.org/lion","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1015","http://icondataset.org/tree","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1015","http://icondataset.org/bathing-trunks","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1015","http://icondataset.org/man","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1015","http://icondataset.org/serpent","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1015","http://icondataset.org/scimitar","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1015","http://icondataset.org/grabbing-with-one-hand","https://w3id.org/icon/ontology/Action"
"http://icondataset.org/ART1015","http://icondataset.org/constellation","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1352","http://icondataset.org/statue-of-a-woman","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1352","http://icondataset.org/first-platform","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1352","http://icondataset.org/statue-of-a-man","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1352","http://icondataset.org/throne","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1352","http://icondataset.org/coffin","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1352","http://icondataset.org/carrying","https://w3id.org/icon/ontology/Action"
"http://icondataset.org/ART1352","http://icondataset.org/boy","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1352","http://icondataset.org/herm","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1352","http://icondataset.org/statue-of-a-slave","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1352","http://icondataset.org/wings","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1352","http://icondataset.org/monument","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1352","http://icondataset.org/niche","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1352","http://icondataset.org/second-platform","https://w3id.org/icon/ontology/NaturalElement"
"http://icondataset.org/ART1066","http://icondataset.org/clothes","https://w3id.org/icon/ontology/NaturalElement"
