"Artwork","CulturalPhenomenon","Type"
"http://icondataset.org/ART1000","http://icondataset.org/CF1040","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1001","http://icondataset.org/CF1040","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1011","http://icondataset.org/CF1040","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1039","http://icondataset.org/CF1040","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1051","http://icondataset.org/CF1040","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1062","http://icondataset.org/CF1040","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1065","http://icondataset.org/CF1040","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1079","http://icondataset.org/CF1040","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1144","http://icondataset.org/CF1040","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1188","http://icondataset.org/CF1040","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1001test","http://icondataset.org/CF1029","http://icondataset.org/societal-phenomenon"
"http://icondataset.org/ART1017test","http://icondataset.org/CF1029","http://icondataset.org/societal-phenomenon"
"http://icondataset.org/ART1002","http://icondataset.org/CF1021","http://icondataset.org/iconographical-evolution"
"http://icondataset.org/ART1002","http://icondataset.org/CF1021","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1002","http://icondataset.org/CF1028","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1003test","http://icondataset.org/CF1251","http://icondataset.org/societal-phenomenon"
"http://icondataset.org/ART1004","http://icondataset.org/CF1181","http://icondataset.org/iconographical-evolution"
"http://icondataset.org/ART1004","http://icondataset.org/CF1181","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1236","http://icondataset.org/CF1181","http://icondataset.org/iconographical-evolution"
"http://icondataset.org/ART1236","http://icondataset.org/CF1181","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1004","http://icondataset.org/CF1036","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1060","http://icondataset.org/CF1036","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1061","http://icondataset.org/CF1036","http://icondataset.org/reception-of-classical-antiquity"
