"Date","Century","Artwork","Level1Representation"
"17","XVII","ART1291","putto"
"17","XVII","ART1291","wings"
"17","XVII","ART1293","boy"
"17","XVII","ART1293","mantle"
"17","XVII","ART1293","torch"
"17","XVII","ART1293","wings"
"17","XVII","ART1293","arrow"
"17","XVII","ART1130","boy"
"17","XVII","ART1130","flying"
"17","XVII","ART1130","holding with a hand"
"17","XVII","ART1130","torch"
"17","XVII","ART1130","wings"
"17","XVII","ART1131","putto"
"17","XVII","ART1131","wreath"
"17","XVII","ART1131","grabbing with one hand"
"17","XVII","ART1132","putto"
"17","XVII","ART1132","wreath"
"17","XVII","ART1132","grabbing with one hand"
"17","XVII","ART1129","boy"
"17","XVII","ART1129","sleeping"
"17","XVII","ART1129","leaning upon"
"17","XVII","ART1129","torch"
"17","XVII","ART1129","wings"
"17","XVII","ART1310","boy"
"17","XVII","ART1310","wings"
"17","XVII","ART1310","bandage"
"17","XVII","ART1310","bow"
"17","XVII","ART1310","arrows"
"17","XVII","ART1310","griffon claws"
"17","XVII","ART1310","crown of roses"
"17","XVII","ART1310","hearts"
"17","XVII","ART1313","horse"
"17","XVII","ART1313","boy"
"17","XVII","ART1313","band"
"17","XVII","ART1313","wings"
"17","XVII","ART1313","bow"
"17","XVII","ART1313","arrow"
"17","XVII","ART1313","griffon claws"
"17","XVII","ART1313","spear"
"17","XVII","ART1313","standing on a horse"
"17","XVII","ART1203","arrow"
"17","XVII","ART1203","bow"
"17","XVII","ART1203","putto"
"17","XVII","ART1203","wings"
"17","XVII","ART1203","taking aim"
"17","XVII","ART1203","fire"
"17","XVII","ART1123","bandage"
"17","XVII","ART1123","wings"
"17","XVII","ART1123","court dress"
"17","XVII","ART1123","arrows"
"17","XVII","ART1123","bow"
"17","XVII","ART1123","boy"
"17","XVII","ART1317","child"
"17","XVII","ART1317","wings"
"17","XVII","ART1317","bandage"
"17","XVII","ART1317","bow"
"17","XVII","ART1317","arrows"
"17","XVII","ART1329","wings"
"17","XVII","ART1329","stirring water"
"17","XVII","ART1329","putto"
"17","XVII","ART1002test","putto"
"17","XVII","ART1002test","wings"
"17","XVII","ART1002test","bow"
"17","XVII","ART1002test","holding a wreath"
"17","XVII","ART1002test","playful attitude"
"17","XVII","ART1200","child"
"17","XVII","ART1200","wings"
"17","XVII","ART1200","arrow"
"17","XVII","ART1321","boy"
"17","XVII","ART1321","bandage"
"17","XVII","ART1321","bow"
"17","XVII","ART1321","arrows"
"17","XVII","ART1323","bow"
"17","XVII","ART1323","arrows"
"17","XVII","ART1323","child"
"17","XVII","ART1323","sleeping"
"17","XVII","ART1323","bandage"
"17","XVII","ART1323","natural landscape"
"17","XVII","ART1201","young"
"17","XVII","ART1201","shooting an arrow"
"17","XVII","ART1201","bow"
"17","XVII","ART1201","arrow"
"17","XVII","ART1201","man"
"17","XVII","ART1288","removing"
"17","XVII","ART1316","putto"
"17","XVII","ART1316","shooting an arrow"
"17","XVII","ART1316","wings"
"17","XVII","ART1316","bow"
"17","XVII","ART1316","arrow"
"17","XVII","ART1316","bandage"
"17","XVII","ART1339","putto"
"17","XVII","ART1339","wings"
"17","XVII","ART1339","snuggling in her lap"
"17","XVII","ART1339","woman"
"17","XVII","ART1339","leaning on her shoulder"
"17","XVII","ART1322","child"
"17","XVII","ART1322","running"
"17","XVII","ART1322","bandage"
"17","XVII","ART1322","wings"
"17","XVII","ART1308","putto"
"17","XVII","ART1308","wings"
"17","XVII","ART1324","child"
"17","XVII","ART1324","bandage"
"17","XVII","ART1324","wings"
"17","XVII","ART1324","fishing"
"17","XVII","ART1326","child"
"17","XVII","ART1326","bandage"
"17","XVII","ART1326","sphere"
"17","XVII","ART1326","standing on"
"17","XVII","ART1326","wings"
"17","XVII","ART1326","arrows"
"17","XVII","ART1312","horse"
"17","XVII","ART1312","string of hearts"
"17","XVII","ART1312","boy"
"17","XVII","ART1312","wings"
"17","XVII","ART1312","bow"
"17","XVII","ART1312","arrow"
"17","XVII","ART1312","griffon claws"
"17","XVII","ART1312","roses"
"17","XVII","ART1312","standing on a horse"
"17","XVII","ART1122","arrows"
"17","XVII","ART1122","bow"
"17","XVII","ART1122","crown"
"17","XVII","ART1122","boy"
"17","XVII","ART1122","bandage"
"17","XVII","ART1122","wings"
"17","XVII","ART1122","court dress"
"17","XVII","ART1294","boy"
"17","XVII","ART1294","wings"
"17","XVII","ART1294","flying"
"17","XVII","ART1294","arrows"
"17","XVII","ART1292","putto"
"17","XVII","ART1292","wings"
"17","XVII","ART1292","bow"
"17","XVII","ART1292","arrow"
"17","XVII","ART1292","shooting an arrow"
"17","XVII","ART1292","mantle"
"17","XVII","ART1315","putto"
"17","XVII","ART1315","shooting an arrow"
"17","XVII","ART1315","wings"
"17","XVII","ART1315","bow"
"17","XVII","ART1315","arrow"
"17","XVII","ART1315","mantle"
"17","XVII","ART1311","boy"
"17","XVII","ART1311","wings"
"17","XVII","ART1311","bandage"
"17","XVII","ART1311","bow"
"17","XVII","ART1311","arrows"
"17","XVII","ART1311","griffon claws"
"17","XVII","ART1311","crown of roses"
"17","XVII","ART1311","string of hearts"
"17","XVII","ART1311","throne"
