"Description";"Subject";"Subject Label"
"<https://w3id.org/icon/data/ART1382-DESC>";"https://w3id.org/icon/data/group-of-figures";"group of figures"
"<https://w3id.org/icon/data/ART1382-DESC>";"https://w3id.org/icon/data/horse";"horse"
"<https://w3id.org/icon/data/ART1382-DESC>";"https://w3id.org/icon/data/thunderbolt";"thunderbolt"
"<https://w3id.org/icon/data/ART1382-DESC>";"https://w3id.org/icon/data/chariot";"chariot"
"<https://w3id.org/icon/data/ART1382-DESC>";"https://w3id.org/icon/data/eagle";"eagle"
"<https://w3id.org/icon/data/ART1382-DESC>";"https://w3id.org/icon/data/hurling";"hurling"
"<https://w3id.org/icon/data/ART1382-DESC>";"https://w3id.org/icon/data/falling-off";"falling off"
"<https://w3id.org/icon/data/ART1382-DESC>";"https://w3id.org/icon/data/man";"man"
"<https://w3id.org/icon/data/ART1382-DESC>";"https://w3id.org/icon/data/fall-of-phaeton-fate-of-every-temerarius";"Fall of Phaeton-fate of every temerarius"
"<https://w3id.org/icon/data/ART1382-DESC>";"https://w3id.org/icon/data/phaeton-the-presumptuous";"Phaeton-the presumptuous"
"<https://w3id.org/icon/data/ART1382-DESC>";"https://w3id.org/icon/data/jupiter";"Jupiter"
"<https://w3id.org/icon/data/ART1382-DESC>";"https://w3id.org/icon/data/phaeton";"Phaeton"
"<https://w3id.org/icon/data/ART1382-DESC>";"https://w3id.org/icon/data/CF1352";"The traditional allegorical meaning of a mythological subject reflects Michelangelo's passion for Tommaso Cavalieri"
"<https://w3id.org/icon/data/ART1382-DESC>";"https://w3id.org/icon/data/CF1364";"Traditional mythological subjects are invested with a symbolic meaning"
"<https://w3id.org/icon/data/ART1382-DESC>";"https://w3id.org/icon/data/CF1329";"The presumption of Phaeton is a symbol of the presumption felt by Michelangelo in writing to Tommaso Cavalieri"
"<https://w3id.org/icon/data/ART1017test-DESC>";"https://w3id.org/icon/data/serpent";"serpent"
"<https://w3id.org/icon/data/ART1017test-DESC>";"https://w3id.org/icon/data/book";"book"
"<https://w3id.org/icon/data/ART1017test-DESC>";"https://w3id.org/icon/data/cornerstone-of-a-church";"cornerstone of a church"
"<https://w3id.org/icon/data/ART1017test-DESC>";"https://w3id.org/icon/data/chalice";"chalice"
"<https://w3id.org/icon/data/ART1017test-DESC>";"https://w3id.org/icon/data/table";"table"
"<https://w3id.org/icon/data/ART1017test-DESC>";"https://w3id.org/icon/data/cloth";"cloth"
"<https://w3id.org/icon/data/ART1017test-DESC>";"https://w3id.org/icon/data/altarpiece";"altarpiece"
"<https://w3id.org/icon/data/ART1017test-DESC>";"https://w3id.org/icon/data/crucifix";"crucifix"
"<https://w3id.org/icon/data/ART1017test-DESC>";"https://w3id.org/icon/data/woman";"woman"
"<https://w3id.org/icon/data/ART1017test-DESC>";"https://w3id.org/icon/data/glass-sphere";"glass sphere"
"<https://w3id.org/icon/data/ART1017test-DESC>";"https://w3id.org/icon/data/floor";"floor"
"<https://w3id.org/icon/data/ART1017test-DESC>";"https://w3id.org/icon/data/ceiling";"ceiling"
"<https://w3id.org/icon/data/ART1017test-DESC>";"https://w3id.org/icon/data/hanging";"hanging"
"<https://w3id.org/icon/data/ART1017test-DESC>";"https://w3id.org/icon/data/bitten-apple";"bitten apple"
"<https://w3id.org/icon/data/ART1017test-DESC>";"https://w3id.org/icon/data/crushing";"crushing"
"<https://w3id.org/icon/data/ART1017test-DESC>";"https://w3id.org/icon/data/hand-raised-to-the-heart";"hand raised to the heart"
"<https://w3id.org/icon/data/ART1017test-DESC>";"https://w3id.org/icon/data/revealing-a-secluded-space";"revealing a secluded space"
"<https://w3id.org/icon/data/ART1017test-DESC>";"https://w3id.org/icon/data/resting-one-foot-on-a-globe";"resting one foot on a globe"
"<https://w3id.org/icon/data/ART1017test-DESC>";"https://w3id.org/icon/data/private-chapel-installed-within-a-large-house";"private chapel installed within a large house"
"<https://w3id.org/icon/data/ART1017test-DESC>";"https://w3id.org/icon/data/blue-hue-of-heaven";"blue-hue of heaven"
"<https://w3id.org/icon/data/ART1017test-DESC>";"https://w3id.org/icon/data/missal";"Missal"
"<https://w3id.org/icon/data/ART1017test-DESC>";"https://w3id.org/icon/data/glass-sphere-as-a-popular-decorative-curiosity";"glass sphere as a popular decorative curiosity"
"<https://w3id.org/icon/data/ART1017test-DESC>";"https://w3id.org/icon/data/original-sin";"Original Sin"
"<https://w3id.org/icon/data/ART1017test-DESC>";"https://w3id.org/icon/data/bible";"Bible"
"<https://w3id.org/icon/data/ART1017test-DESC>";"https://w3id.org/icon/data/satan";"Satan"
"<https://w3id.org/icon/data/ART1017test-DESC>";"https://w3id.org/icon/data/glass-sphere-god";"glass sphere-God"
"<https://w3id.org/icon/data/ART1017test-DESC>";"https://w3id.org/icon/data/heart-source-of-living-faith";"heart-source of living faith"
"<https://w3id.org/icon/data/ART1017test-DESC>";"https://w3id.org/icon/data/christ";"Christ"
"<https://w3id.org/icon/data/ART1017test-DESC>";"https://w3id.org/icon/data/catholic-altar";"Catholic altar"
"<https://w3id.org/icon/data/ART1017test-DESC>";"https://w3id.org/icon/data/white-purity";"white-purity"
"<https://w3id.org/icon/data/ART1017test-DESC>";"https://w3id.org/icon/data/pers/catholic-faith";"Catholic Faith"
"<https://w3id.org/icon/data/ART1017test-DESC>";"https://w3id.org/icon/data/glass-sphere-heaven";"glass sphere-heaven"
"<https://w3id.org/icon/data/ART1017test-DESC>";"https://w3id.org/icon/data/faith-has-the-world-under-her-feet";"faith has the world under her feet"
"<https://w3id.org/icon/data/ART1017test-DESC>";"https://w3id.org/icon/data/CF1029";"Catholic worship practiced in the private home interior due to the prohibition of its public profession"
"<https://w3id.org/icon/data/ART1273-DESC>";"https://w3id.org/icon/data/wings";"wings"
"<https://w3id.org/icon/data/ART1273-DESC>";"https://w3id.org/icon/data/bear";"bear"
"<https://w3id.org/icon/data/ART1273-DESC>";"https://w3id.org/icon/data/iron-teeth";"iron teeth"
"<https://w3id.org/icon/data/ART1273-DESC>";"https://w3id.org/icon/data/demon";"demon"
"<https://w3id.org/icon/data/ART1273-DESC>";"https://w3id.org/icon/data/ruins";"ruins"
"<https://w3id.org/icon/data/ART1273-DESC>";"https://w3id.org/icon/data/crutch";"crutch"
"<https://w3id.org/icon/data/ART1273-DESC>";"https://w3id.org/icon/data/four-wings-four-seasons";"four wings-four seasons"
"<https://w3id.org/icon/data/ART1273-DESC>";"https://w3id.org/icon/data/pers/time-the-destroyer";"Time the Destroyer"
"<https://w3id.org/icon/data/ART1273-DESC>";"https://w3id.org/icon/data/CF1223";"Pseudomorphosis: ""certain Renaissance figures became invested with a meaning which, for all their classicizing appearance, had not been present in their classical prototypes, though it had frequently been foreshadowed in classical literature"""
"<https://w3id.org/icon/data/ART1273-DESC>";"https://w3id.org/icon/data/CF1379";"Evolution of the Iconography of Time: Renaissance art ""produced an image of Time the Destroyer by fusing a personification of Temps with the frightening figure of Saturn, and thereby endowed the type of Father Time with a variety of new meanings"""
"<https://w3id.org/icon/data/ART1312-DESC>";"https://w3id.org/icon/data/arrow";"arrow"
"<https://w3id.org/icon/data/ART1312-DESC>";"https://w3id.org/icon/data/horse";"horse"
"<https://w3id.org/icon/data/ART1312-DESC>";"https://w3id.org/icon/data/rose";"rose"
