"Description";"Artwork";"Source";"Title"
"<https://w3id.org/icon/data/ART1382-DESC>";"https://w3id.org/icon/data/ART1382";"http://www.worldcat.org/oclc/265570808";"Michelangelo, The Fall of Phaethon (Fr. 57), ante 1533"
"<https://w3id.org/icon/data/ART1017test-DESC>";"https://w3id.org/icon/data/ART1017test";"https://www.metmuseum.org/art/collection/search/437877";"Johannes Vermeer, Allgory of Catholic Faith, 1670-1672, New York, Metropolitan Museum of Art"
"<https://w3id.org/icon/data/ART1273-DESC>";"https://w3id.org/icon/data/ART1273";"http://www.worldcat.org/oclc/265570808";"The Triumph of Time, 1493"
"<https://w3id.org/icon/data/ART1312-DESC>";"https://w3id.org/icon/data/ART1312";"http://www.worldcat.org/oclc/265570808";"Francesco Barberino, Amor Divino, before 1318, Vatican City, Biblioteca Apostolica Vaticana"
"<https://w3id.org/icon/data/ART1249-DESC>";"https://w3id.org/icon/data/ART1249";"http://www.worldcat.org/oclc/265570808, https://www.jstor.org/stable/750066";"Piero di Cosimo, A Hunting Scene, New York, Metropolitan Museum of Art"
"<https://w3id.org/icon/data/ART1352-DESC>";"https://w3id.org/icon/data/ART1352";"http://www.worldcat.org/oclc/265570808";"Michelangelo, Side elevation, 1505"
"<https://w3id.org/icon/data/ART1197-DESC>";"https://w3id.org/icon/data/ART1197";"http://www.worldcat.org/oclc/217473356, http://www.worldcat.org/oclc/265570808";"Piero di Cosimo, The Discovery of Honey, 1498, Worcester, Worcester Art Museum"
"<https://w3id.org/icon/data/ART1195-DESC1>";"https://w3id.org/icon/data/ART1195";"http://www.worldcat.org/oclc/217473356, http://www.worldcat.org/oclc/265570808, https://www.jstor.org/stable/750066";"Piero di Cosimo, The Finding of Vulcan,  1485-1490, Hartford, Wadsworth Atheneum"
"<https://w3id.org/icon/data/ART1001-DESC>";"https://w3id.org/icon/data/ART1001";"https://doi.org/10.2307/1522803";"Hercules Fighting the Lion , XI Century , Florence, Museo Nazionale di Firenze"
"<https://w3id.org/icon/data/ART1422-DESC>";"https://w3id.org/icon/data/ART1422";"http://www.worldcat.org/oclc/803192922, https://www.jstor.org/stable/863048";"Allegory of Good Counsel"
