"Date","Century","Artwork","Level1Representation"
"11","XI","http://icondataset.org/ART1041","killing a serpent"
"11","XI","http://icondataset.org/ART1041","staff"
"11","XI","http://icondataset.org/ART1041","serpent"
"11","XI","http://icondataset.org/ART1041","bird"
"11","XI","http://icondataset.org/ART1041","man"
"15","XV","http://icondataset.org/ART1147","cleric"
"15","XV","http://icondataset.org/ART1147","reading"
"15","XV","http://icondataset.org/ART1147","book"
"15","XV","http://icondataset.org/ART1147","holding"
"15","XV","http://icondataset.org/ART1147","musical instrument"
"15","XV","http://icondataset.org/ART1021","playing music"
"15","XV","http://icondataset.org/ART1021","man"
"15","XV","http://icondataset.org/ART1021","flute"
"15","XV","http://icondataset.org/ART1021","staff"
"15","XV","http://icondataset.org/ART1021","serpents"
"15","XV","http://icondataset.org/ART1021","wings"
"15","XV","http://icondataset.org/ART1021","lance"
"15","XV","http://icondataset.org/ART1021","sword"
"15","XV","http://icondataset.org/ART1021","cutten head"
"15","XV","http://icondataset.org/ART1021","eyes"
"15","XV","http://icondataset.org/ART1203","man"
"15","XV","http://icondataset.org/ART1203","indifference"
"15","XV","http://icondataset.org/ART1203","raising the right hand"
"15","XV","http://icondataset.org/ART1203","stick with two coiled snakes"
"15","XV","http://icondataset.org/ART1203","endeavoring to dispel the wisps of mist"
"15","XV","http://icondataset.org/ART1203","mist"
"15","XV","http://icondataset.org/ART1046","man"
"15","XV","http://icondataset.org/ART1046","cock"
"15","XV","http://icondataset.org/ART1046","flute"
"15","XV","http://icondataset.org/ART1046","playing music"
"15","XV","http://icondataset.org/ART1046","sword"
"15","XV","http://icondataset.org/ART1033","man"
"15","XV","http://icondataset.org/ART1033","riding a horse"
"15","XV","http://icondataset.org/ART1033","horse"
"15","XV","http://icondataset.org/ART1033","protecting people below"
"16","XVI","http://icondataset.org/ART1201","man"
"16","XVI","http://icondataset.org/ART1201","winged hat"
"16","XVI","http://icondataset.org/ART1316","man"
"15","XV","http://icondataset.org/ART1034","man"
"15","XV","http://icondataset.org/ART1034","sitting down"
"15","XV","http://icondataset.org/ART1034","rainbow"
"15","XV","http://icondataset.org/ART1034","sky"
"14","XIV","http://icondataset.org/ART1030","bishop"
"14","XIV","http://icondataset.org/ART1030","crosier"
"14","XIV","http://icondataset.org/ART1030","book"
"14","XIV","http://icondataset.org/ART1030","holding"
"15","XV","http://icondataset.org/ART1315","man"
