"NaturalElement","Link"
"abacus",""
"acanthus plant",""
"altar",""
"altarpiece",""
"amoretto",""
"amphitheater",""
"amphora",""
"animal",""
"anklet with bells",""
"anteroom",""
"ape",""
"apple",""
"apse",""
"arch",""
"architecture",""
"aries",""
"armor",""
"arms lifted",""
"arms lowered",""
"arrow",""
"ax",""
"axe",""
"baby",""
"bag",""
"balance",""
"balance of the arms",""
"bald-headed",""
"band",""
"bandage",""
"barrel",""
"base with strigilated motif",""
"basket with roses",""
"bat wings",""
"bathing trunks",""
"battle",""
"battling monsters",""
"beams of light",""
"bear",""
"beard",""
"bed",""
"beggars",""
"bellow",""
"bellows",""
"belt",""
"belt of flowers",""
"biga",""
"bird",""
"birth chamber",""
"bishop",""
"bitten apple",""
"blacksmith",""
"block",""
"boar",""
"boat",""
"body covered with feathers",""
"bone",""
"book",""
"books",""
"boots",""
"bow",""
"bowl of grapes",""
"bowl",""
"box",""
"boy",""
"branch",""
"broken string",""
"building",""
"bull",""
"bunch of grapes",""
"bundle of logs",""
"bundle of sticks",""
"bust with three heads",""
"camel",""
"cameo",""
"caned boats",""
"capital",""
"carcass",""
"cart",""
"cash-box",""
"catafalque",""
"ceiling",""
"celestial spheres",""
"central circle",""
"central zone of the tomb",""
"chain with a heart",""
"chain",""
"chalice",""
"charger",""
"chariot",""
"charioteer",""
"chart",""
"chest",""
"child",""
"chlamys",""
"choir",""
"church",""
"church exterior",""
"church interior",""
"circle",""
"cithara",""
"city",""
"classical relief",""
"classical setting",""
"cleric",""
"cloak",""
"clock",""
"cloth",""
"clothes",""
"cloud",""
"club",""
"coat",""
"cock",""
"coffin",""
"coins",""
"column",""
"concave line",""
"concentric circle",""
"cone shell",""
"constellation",""
"convex line",""
"cornerstone of a church",""
"cornice",""
"cornucopia",""
"corpse",""
"cortège",""
"country church",""
"couple embracing",""
"coupled pilasters",""
"court dress",""
"court official",""
"criminals",""
"cripples",""
"crosier",""
"cross",""
"crossbreed between forechoir and transept",""
"crowd of people",""
"crown",""
"crown of roses",""
"crucifix",""
"cruciform halo",""
"crunch",""
"crutch",""
"cudgel",""
"cup",""
"cupboard",""
"curls",""
"curtain",""
"cutten head",""
"cymbal",""
"dais",""
"dead body of a man",""
"decoration strigilated",""
"decoration with crockets",""
"decoration with the head of a bat",""
"deer",""
"demon",""
"desk",""
"desolate scenery",""
"dog",""
"dolphin",""
"donkey",""
"dove",""
"dragon biting its tail",""
"dragoon",""
"dragoon body",""
"dragoon without wings",""
"drapery",""
"dress",""
"drops of blood",""
"eagle",""
"earring",""
"earth",""
"empty thrones",""
"entablature",""
"equator",""
"eye",""
"façade",""
"face",""
"family",""
"feather",""
"feet",""
"female head",""
"fettered ape",""
"fettered man",""
"fettered slave",""
"figure",""
"figure in the background",""
"fire",""
"first man of each row",""
"first platform",""
"fish-like body",""
"flag",""
"flame",""
"flames leaving from the eyes",""
"flock of sheep",""
"floor",""
"floor decoration",""
"floral cloth",""
"floral dress",""
"flowers",""
"flute",""
"fly",""
"following men of each row",""
"forelock",""
"forest",""
"forest fire",""
"fortified town",""
"fountain",""
"fragments of classical buildings",""
"fragments of statuary",""
"fronton",""
"gale",""
"garland",""
"gentleman",""
"giraffe",""
"girl",""
"glass sphere",""
"glasses",""
"globe",""
"globe crowned with a cross",""
"glove",""
"goat",""
"goat leg",""
"goblet",""
"goddess",""
"gown",""
"grape",""
"grater",""
"griffon claws",""
"ground",""
"group of archers",""
"group of children",""
"group of figures",""
"group of men",""
"group of women",""
"hair",""
"halo",""
"halo of rays",""
"hammer",""
"hand",""
"hanging",""
"hare",""
"hat",""
"head",""
"head of a dog",""
"head of a lion",""
"head of a wolf",""
"headdress",""
"heads",""
"hearts",""
"helmet",""
"herm",""
"hexafoils",""
"hidden eyes",""
"hide",""
"highest zone of the tomb",""
"hill",""
"hilly landscape",""
"home interior",""
"honeycomb",""
"horn",""
"horse",""
"horseman",""
"horseshoe",""
"hortatory verses",""
"hourglass",""
"human",""
"human head",""
"human skull","https://iconclass.org/31A211"
"hut",""
"ibis",""
"idol",""
"imago clipeata",""
"implement",""
"incense burner",""
"incrustation motif",""
"inscription",""
"inverted flying buttresses",""
"iron teeth",""
"ivy",""
"jar",""
"jewelry box",""
"journeyman",""
"jungle fight",""
"kettle",""
"kid",""
"king",""
"kitchen",""
"knapsack",""
"knight",""
"knotted ribbon bracelet",""
"ladle",""
"lady",""
"lance",""
"landscape elements",""
"lantern",""
"Lapith",""
"lappets",""
"laurel wreath",""
"lawn",""
"leash",""
"lilies",""
"lilium",""
"lion",""
