"Pose","Link"
"classical pose",""
"crouching pose","https://iconclass.org/31A234 @ https://iconclass.org/31A2341"
"gothic sway pose",""
"graceful pose",""
"kneeling pose","https://iconclass.org/31A233"
"laying pose",""
"lying on the ground pose",""
"lying down pose",""
"passant guardant pose",""
"pose half stretched out",""
"pose seated",""
"pose turning his back to the centre of the scene",""
"pose with leg crossed",""
"pose with open arms and head in profile with bent legs",""
"pose with open arms thrown backwards",""
"precious angularity of the pose",""
"profile pose",""
"reclining pose",""
"sitting pose","https://iconclass.org/31A235"
"sitting pose with legs apart",""
"specular pose",""
"standing pose","https://iconclass.org/31A231"
"turning pose",""
