"artwork","subject2","subject1"
"http://icondataset.org/ART1317","http://icondataset.org/devil","http://icondataset.org/human"
"http://icondataset.org/ART1317","http://icondataset.org/devil","http://icondataset.org/holding-with-a-hand"
"http://icondataset.org/ART1317","http://icondataset.org/devil","http://icondataset.org/figure"
"http://icondataset.org/ART1379","http://icondataset.org/tityus","http://icondataset.org/man"
"http://icondataset.org/ART1338","http://icondataset.org/mars","http://icondataset.org/touching-breast"
"http://icondataset.org/ART1338","http://icondataset.org/mars","http://icondataset.org/woman"
"http://icondataset.org/ART1338","http://icondataset.org/mars","http://icondataset.org/armor"
"http://icondataset.org/ART1338","http://icondataset.org/mars","http://icondataset.org/gentleman"
"http://icondataset.org/ART1036","http://icondataset.org/mars","http://icondataset.org/shield"
"http://icondataset.org/ART1036","http://icondataset.org/mars","http://icondataset.org/cloak"
"http://icondataset.org/ART1036","http://icondataset.org/mars","http://icondataset.org/hat"
"http://icondataset.org/ART1036","http://icondataset.org/mars","http://icondataset.org/man"
"http://icondataset.org/ART1036","http://icondataset.org/mars","http://icondataset.org/backward-turning-movement"
"http://icondataset.org/ART1036","http://icondataset.org/mars","http://icondataset.org/spear"
"http://icondataset.org/ART1525","http://icondataset.org/mars","http://icondataset.org/man"
"http://icondataset.org/ART1525","http://icondataset.org/mars","http://icondataset.org/shield"
"http://icondataset.org/ART1525","http://icondataset.org/mars","http://icondataset.org/spear"
"http://icondataset.org/ART1421","http://icondataset.org/serapis","http://icondataset.org/head-of-a-dog"
"http://icondataset.org/ART1421","http://icondataset.org/serapis","http://icondataset.org/three-headed-serpent"
"http://icondataset.org/ART1421","http://icondataset.org/serapis","http://icondataset.org/head-of-a-wolf"
"http://icondataset.org/ART1421","http://icondataset.org/serapis","http://icondataset.org/head-of-a-lion"
"http://icondataset.org/ART1297","http://icondataset.org/dieu-amour","http://icondataset.org/wings"
"http://icondataset.org/ART1297","http://icondataset.org/dieu-amour","http://icondataset.org/tree"
"http://icondataset.org/ART1297","http://icondataset.org/dieu-amour","http://icondataset.org/arrow"
"http://icondataset.org/ART1297","http://icondataset.org/dieu-amour","http://icondataset.org/torch"
"http://icondataset.org/ART1297","http://icondataset.org/dieu-amour","http://icondataset.org/sitting-on"
"http://icondataset.org/ART1297","http://icondataset.org/dieu-amour","http://icondataset.org/clothes"
"http://icondataset.org/ART1297","http://icondataset.org/dieu-amour","http://icondataset.org/boy"
"http://icondataset.org/ART1297","http://icondataset.org/dieu-amour","http://icondataset.org/crown"
"http://icondataset.org/ART1446","http://icondataset.org/hercules","http://icondataset.org/man"
"http://icondataset.org/ART1446","http://icondataset.org/hercules","http://icondataset.org/bow"
"http://icondataset.org/ART1446","http://icondataset.org/hercules","http://icondataset.org/drawing-the-bow"
"http://icondataset.org/ART1001","http://icondataset.org/hercules","http://icondataset.org/man"
"http://icondataset.org/ART1201","http://icondataset.org/hercules","http://icondataset.org/man"
"http://icondataset.org/ART1201","http://icondataset.org/hercules","http://icondataset.org/club"
"http://icondataset.org/ART1233","http://icondataset.org/christ","http://icondataset.org/standing-on-the-ground"
"http://icondataset.org/ART1233","http://icondataset.org/christ","http://icondataset.org/ground"
"http://icondataset.org/ART1458","http://icondataset.org/christ","http://icondataset.org/lifting-one-hand"
"http://icondataset.org/ART1458","http://icondataset.org/christ","http://icondataset.org/man"
"http://icondataset.org/ART1458","http://icondataset.org/christ","http://icondataset.org/sceptre"
"http://icondataset.org/ART1458","http://icondataset.org/christ","http://icondataset.org/holding-with-the-right-hand"
"http://icondataset.org/ART1458","http://icondataset.org/christ","http://icondataset.org/halo-of-rays"
"http://icondataset.org/ART1017test","http://icondataset.org/christ","http://icondataset.org/cornerstone-of-a-church"
"http://icondataset.org/ART1004","http://icondataset.org/christ","http://icondataset.org/cloth"
"http://icondataset.org/ART1004","http://icondataset.org/christ","http://icondataset.org/carrying-on-shoulders"
"http://icondataset.org/ART1004","http://icondataset.org/christ","http://icondataset.org/man"
"http://icondataset.org/ART1264","http://icondataset.org/christ","http://icondataset.org/crown"
"http://icondataset.org/ART1264","http://icondataset.org/christ","http://icondataset.org/cross"
"http://icondataset.org/ART1264","http://icondataset.org/christ","http://icondataset.org/man"
"http://icondataset.org/ART1538","http://icondataset.org/christ","http://icondataset.org/man"
"http://icondataset.org/ART1187","http://icondataset.org/christ","http://icondataset.org/child"
"http://icondataset.org/ART1187","http://icondataset.org/christ","http://icondataset.org/halo"
"http://icondataset.org/ART1162","http://icondataset.org/christ","http://icondataset.org/man"
"http://icondataset.org/ART1324","http://icondataset.org/anteros","http://icondataset.org/wings"
"http://icondataset.org/ART1324","http://icondataset.org/anteros","http://icondataset.org/fishing"
"http://icondataset.org/ART1324","http://icondataset.org/anteros","http://icondataset.org/halo"
"http://icondataset.org/ART1324","http://icondataset.org/anteros","http://icondataset.org/child"
"http://icondataset.org/ART1319","http://icondataset.org/anteros","http://icondataset.org/child"
"http://icondataset.org/ART1319","http://icondataset.org/anteros","http://icondataset.org/wings"
"http://icondataset.org/ART1318","http://icondataset.org/anteros","http://icondataset.org/fishing"
"http://icondataset.org/ART1318","http://icondataset.org/anteros","http://icondataset.org/wings"
"http://icondataset.org/ART1318","http://icondataset.org/anteros","http://icondataset.org/child"
"http://icondataset.org/ART1321","http://icondataset.org/anteros","http://icondataset.org/boy"
"http://icondataset.org/ART1321","http://icondataset.org/anteros","http://icondataset.org/tying"
"http://icondataset.org/ART1321","http://icondataset.org/anteros","http://icondataset.org/tree"
"http://icondataset.org/ART1378","http://icondataset.org/ganymede","http://icondataset.org/man"
"http://icondataset.org/ART1042","http://icondataset.org/laocoon","http://icondataset.org/clothes"
"http://icondataset.org/ART1042","http://icondataset.org/laocoon","http://icondataset.org/bear"
"http://icondataset.org/ART1042","http://icondataset.org/laocoon","http://icondataset.org/man"
"http://icondataset.org/ART1539","http://icondataset.org/christ-as-a-child","http://icondataset.org/child"
"http://icondataset.org/ART1232","http://icondataset.org/christ-as-a-child","http://icondataset.org/child"
"http://icondataset.org/ART1042","http://icondataset.org/marine-snakes","http://icondataset.org/water"
"http://icondataset.org/ART1042","http://icondataset.org/marine-snakes","http://icondataset.org/serpent"
"http://icondataset.org/ART1019","http://icondataset.org/perseus","http://icondataset.org/wings-at-the-heels"
"http://icondataset.org/ART1019","http://icondataset.org/perseus","http://icondataset.org/man"
"http://icondataset.org/ART1019","http://icondataset.org/perseus","http://icondataset.org/sword"
"http://icondataset.org/ART1042","http://icondataset.org/antiphas-son-of-laoocoon","http://icondataset.org/boy"
"http://icondataset.org/ART1042","http://icondataset.org/antiphas-son-of-laoocoon","http://icondataset.org/clothes"
"http://icondataset.org/ART1160","http://icondataset.org/mary","http://icondataset.org/woman"
"http://icondataset.org/ART1539","http://icondataset.org/mary","http://icondataset.org/woman"
"http://icondataset.org/ART1061","http://icondataset.org/mary","http://icondataset.org/woman"
"http://icondataset.org/ART1355","http://icondataset.org/mary","http://icondataset.org/statue-of-a-woman"
"http://icondataset.org/ART1008test","http://icondataset.org/mary","http://icondataset.org/girl"
"http://icondataset.org/ART1008test","http://icondataset.org/mary","http://icondataset.org/holding-a-book"
"http://icondataset.org/ART1008test","http://icondataset.org/mary","http://icondataset.org/book"
"http://icondataset.org/ART1107","http://icondataset.org/mary","http://icondataset.org/clothes"
"http://icondataset.org/ART1107","http://icondataset.org/mary","http://icondataset.org/woman"
"http://icondataset.org/ART1107","http://icondataset.org/mary","http://icondataset.org/face"
"http://icondataset.org/ART1009test","http://icondataset.org/mary","http://icondataset.org/clothes"
"http://icondataset.org/ART1009test","http://icondataset.org/mary","http://icondataset.org/girl"
"http://icondataset.org/ART1187","http://icondataset.org/mary","http://icondataset.org/halo"
"http://icondataset.org/ART1187","http://icondataset.org/mary","http://icondataset.org/mantle"
"http://icondataset.org/ART1187","http://icondataset.org/mary","http://icondataset.org/woman"
"http://icondataset.org/ART1339","http://icondataset.org/venus","http://icondataset.org/crown"
"http://icondataset.org/ART1339","http://icondataset.org/venus","http://icondataset.org/woman"
"http://icondataset.org/ART1338","http://icondataset.org/venus","http://icondataset.org/woman"
"http://icondataset.org/ART1338","http://icondataset.org/venus","http://icondataset.org/glass-sphere"
"http://icondataset.org/ART1338","http://icondataset.org/venus","http://icondataset.org/holding-on-her-lap"
"http://icondataset.org/ART1030","http://icondataset.org/venus","http://icondataset.org/clothes"
"http://icondataset.org/ART1030","http://icondataset.org/venus","http://icondataset.org/lady"
