"artwork","subject2","subject1"
"http://icondataset.org/ART1388","http://icondataset.org/devil","http://icondataset.org/winged-creature"
"http://icondataset.org/ART1380","http://icondataset.org/tityus","http://icondataset.org/fettered-man"
"http://icondataset.org/ART1037","http://icondataset.org/mars","http://icondataset.org/spear"
"http://icondataset.org/ART1037","http://icondataset.org/mars","http://icondataset.org/man"
"http://icondataset.org/ART1037","http://icondataset.org/mars","http://icondataset.org/cloak"
"http://icondataset.org/ART1037","http://icondataset.org/mars","http://icondataset.org/helmet"
"http://icondataset.org/ART1037","http://icondataset.org/mars","http://icondataset.org/shield"
"http://icondataset.org/ART1037","http://icondataset.org/mars","http://icondataset.org/backward-turning-movement"
"http://icondataset.org/ART1415","http://icondataset.org/serapis","http://icondataset.org/woman"
"http://icondataset.org/ART1415","http://icondataset.org/serapis","http://icondataset.org/throne"
"http://icondataset.org/ART1415","http://icondataset.org/serapis","http://icondataset.org/sceptre"
"http://icondataset.org/ART1415","http://icondataset.org/serapis","http://icondataset.org/modius"
"http://icondataset.org/ART1296","http://icondataset.org/dieu-amour","http://icondataset.org/wings"
"http://icondataset.org/ART1296","http://icondataset.org/dieu-amour","http://icondataset.org/clothes"
"http://icondataset.org/ART1296","http://icondataset.org/dieu-amour","http://icondataset.org/boy"
"http://icondataset.org/ART1296","http://icondataset.org/dieu-amour","http://icondataset.org/crown"
"http://icondataset.org/ART1295","http://icondataset.org/dieu-amour","http://icondataset.org/boy"
"http://icondataset.org/ART1295","http://icondataset.org/dieu-amour","http://icondataset.org/arrow"
"http://icondataset.org/ART1295","http://icondataset.org/dieu-amour","http://icondataset.org/wings"
"http://icondataset.org/ART1295","http://icondataset.org/dieu-amour","http://icondataset.org/clothes"
"http://icondataset.org/ART1295","http://icondataset.org/dieu-amour","http://icondataset.org/bow"
"http://icondataset.org/ART1295","http://icondataset.org/dieu-amour","http://icondataset.org/crown"
"http://icondataset.org/ART1447","http://icondataset.org/hercules","http://icondataset.org/drawing-the-bow"
"http://icondataset.org/ART1447","http://icondataset.org/hercules","http://icondataset.org/bow"
"http://icondataset.org/ART1447","http://icondataset.org/hercules","http://icondataset.org/man"
"http://icondataset.org/ART1237","http://icondataset.org/hercules","http://icondataset.org/supporting"
"http://icondataset.org/ART1237","http://icondataset.org/hercules","http://icondataset.org/man"
"http://icondataset.org/ART1237","http://icondataset.org/hercules","http://icondataset.org/sphere"
"http://icondataset.org/ART1003","http://icondataset.org/hercules","http://icondataset.org/man"
"http://icondataset.org/ART1003","http://icondataset.org/hercules","http://icondataset.org/lion-skin"
"http://icondataset.org/ART1003","http://icondataset.org/hercules","http://icondataset.org/carrying-on-shoulders"
"http://icondataset.org/ART1392","http://icondataset.org/hercules","http://icondataset.org/figure"
"http://icondataset.org/ART1537","http://icondataset.org/christ","http://icondataset.org/man"
"http://icondataset.org/ART1543","http://icondataset.org/christ","http://icondataset.org/dead-body-of-a-man"
"http://icondataset.org/ART1308","http://icondataset.org/anteros","http://icondataset.org/wings"
"http://icondataset.org/ART1308","http://icondataset.org/anteros","http://icondataset.org/putto"
"http://icondataset.org/ART1389","http://icondataset.org/ganymede","http://icondataset.org/cloth"
"http://icondataset.org/ART1389","http://icondataset.org/ganymede","http://icondataset.org/man"
"http://icondataset.org/ART1006test","http://icondataset.org/laocoon","http://icondataset.org/wiggling-out-of-serpents"
"http://icondataset.org/ART1006test","http://icondataset.org/laocoon","http://icondataset.org/bear"
"http://icondataset.org/ART1006test","http://icondataset.org/laocoon","http://icondataset.org/man"
"http://icondataset.org/ART1373","http://icondataset.org/christ-as-a-child","http://icondataset.org/child"
"http://icondataset.org/ART1372","http://icondataset.org/christ-as-a-child","http://icondataset.org/child"
"http://icondataset.org/ART1006test","http://icondataset.org/marine-snakes","http://icondataset.org/grabbing"
"http://icondataset.org/ART1006test","http://icondataset.org/marine-snakes","http://icondataset.org/serpent"
"http://icondataset.org/ART1023","http://icondataset.org/perseus","http://icondataset.org/lifting-with-one-hand"
"http://icondataset.org/ART1023","http://icondataset.org/perseus","http://icondataset.org/sword"
"http://icondataset.org/ART1023","http://icondataset.org/perseus","http://icondataset.org/cloth"
"http://icondataset.org/ART1023","http://icondataset.org/perseus","http://icondataset.org/cutten-head"
"http://icondataset.org/ART1023","http://icondataset.org/perseus","http://icondataset.org/man"
"http://icondataset.org/ART1023","http://icondataset.org/perseus","http://icondataset.org/wings-at-the-heels"
"http://icondataset.org/ART1023","http://icondataset.org/perseus","http://icondataset.org/running"
"http://icondataset.org/ART1006test","http://icondataset.org/antiphas-son-of-laoocoon","http://icondataset.org/wiggling-out-of-serpents"
"http://icondataset.org/ART1006test","http://icondataset.org/antiphas-son-of-laoocoon","http://icondataset.org/boy"
"http://icondataset.org/ART1006test","http://icondataset.org/antiphas-son-of-laoocoon","http://icondataset.org/cloth"
"http://icondataset.org/ART1373","http://icondataset.org/mary","http://icondataset.org/woman"
"http://icondataset.org/ART1372","http://icondataset.org/mary","http://icondataset.org/woman"
"http://icondataset.org/ART1363","http://icondataset.org/mary","http://icondataset.org/woman"
"http://icondataset.org/ART1199","http://icondataset.org/mary","http://icondataset.org/dais"
"http://icondataset.org/ART1199","http://icondataset.org/mary","http://icondataset.org/woman"
"http://icondataset.org/ART1332","http://icondataset.org/mary","http://icondataset.org/woman"
"http://icondataset.org/ART1370","http://icondataset.org/mary","http://icondataset.org/sketch-of-a-human-figure"
"http://icondataset.org/ART1002test","http://icondataset.org/venus","http://icondataset.org/earring"
"http://icondataset.org/ART1002test","http://icondataset.org/venus","http://icondataset.org/woman"
