Cultural Phenomenon,Subject,Frequency
Representation of classical content with contemporary formal motifs,man,18
Reintegration of classical style and content in the Italian Renaissance,man,14
"Piero di Cosimo's representation of the primitive world is an ""extreme and unique manifestation of the general tendency to retrieve the sacrosancta vetustas""",man,13
Iconographic evolution of the representation of the three-headed companion of Serapis,head of a dog,11
Iconographic evolution of the representation of the three-headed companion of Serapis,head of a lion,11
Iconographic evolution of the representation of the three-headed companion of Serapis,head of a wolf,11
Representation of classical content with contemporary formal motifs,woman,10
Iconographic evolution of blind Cupid: it developed in different fashions according to historical conditions,bow,9
Iconographic evolution of classical subjects,man,9
Reintegration of classical style and content in the Italian Renaissance,woman,9
Representation of classical content with contemporary formal motifs,clothes,9
"The phenomenon called Principle of disjunction: whenever in the high and later Middle Ages a work of art borrows its form from a classical model, this form is almost invariably invested with a non-classical, normally Christian, significance; whenever in the high and later Middle Ages a work of art borrows its theme from classical poetry, legend, history or mythology, this theme is quite invariably presented in a non-classical, normally contemporary, form.",man,9
Traditional mythological subjects are invested with a symbolic meaning,man,9
Classical subject matter represented in classical form,man,8
"Dürer assimilated classical art through the intermediate of Italian Renaissance art, comprehending it better than them",man,8
Iconographic evolution of classical subjects,head of a dog,8
Iconographic evolution of classical subjects,head of a lion,8
Iconographic evolution of classical subjects,head of a wolf,8
"Neoplatonic apotheosis: ""the ascension of the soul through the hierarchies of the Neoplatonic universe""",man,8
"The four elements (air, fire, earth, and water) are considered unanimously coessential with the four humours which constituted the human body",man,8
The traditional allegorical meaning of a mythological subject reflects Michelangelo's passion for Tommaso Cavalieri,man,8
"""Piero conceived of human evolution as a process due to the inborn faculties and talents of the race""",satyr,8
"""Piero conceived of human evolution as a process due to the inborn faculties and talents of the race""",Satyr,8
Archaeological research paralleled only in scientific illustrations,satyr,8
Archaeological research paralleled only in scientific illustrations,Satyr,8
Evolution of the Iconography of Saturn,Saturn,8
"For Piero ""civilization meant a realm of beauty and happiness as long as men kept in close contact with Nature""",satyr,8
"For Piero ""civilization meant a realm of beauty and happiness as long as men kept in close contact with Nature""",Satyr,8
Iconographic evolution of the representation of the three-headed companion of Serapis,Companion of Serapis,8
Lack of idealization in the representation of the first stages of the world,satyr,8
Lack of idealization in the representation of the first stages of the world,Satyr,8
